t_rel,raw_0,raw_1,raw_2,deg_0,deg_1,deg_2
24.74316930770874,3794,0,0,333.46,0.00,0.00
24.857568740844727,3826,0,0,336.27,0.00,0.00
24.972975492477417,3827,0,0,336.36,0.00,0.00
25.087225914001465,3828,0,0,336.45,0.00,0.00
25.20276641845703,3828,0,0,336.45,0.00,0.00
25.318315267562866,3829,0,0,336.53,0.00,0.00
25.43268871307373,3828,0,0,336.45,0.00,0.00
25.547853231430054,3828,0,0,336.45,0.00,0.00
25.66298794746399,3829,0,0,336.53,0.00,0.00
25.778014659881592,3828,0,0,336.45,0.00,0.00
25.892288208007812,3828,0,0,336.45,0.00,0.00
26.007765769958496,3828,0,0,336.45,0.00,0.00
26.12285566329956,3828,0,0,336.45,0.00,0.00
26.237709522247314,3828,0,0,336.45,0.00,0.00
26.35224413871765,3828,0,0,336.45,0.00,0.00
26.467673301696777,3828,0,0,336.45,0.00,0.00
26.582727193832397,3828,0,0,336.45,0.00,0.00
26.697906255722046,3828,0,0,336.45,0.00,0.00
26.813682079315186,3829,0,0,336.53,0.00,0.00
26.928046703338623,3828,0,0,336.45,0.00,0.00
27.04293417930603,3829,0,0,336.53,0.00,0.00
27.15767526626587,3829,0,0,336.53,0.00,0.00
27.273472785949707,3829,0,0,336.53,0.00,0.00
27.38761615753174,3829,0,0,336.53,0.00,0.00
27.5027756690979,3828,0,0,336.45,0.00,0.00
27.61726403236389,3829,0,0,336.53,0.00,0.00
27.733586072921753,3829,0,0,336.53,0.00,0.00
27.847668170928955,3829,0,0,336.53,0.00,0.00
27.962948083877563,3828,0,0,336.45,0.00,0.00
28.07818031311035,3829,0,0,336.53,0.00,0.00
28.19302201271057,3829,0,0,336.53,0.00,0.00
28.307260274887085,3824,0,0,336.09,0.00,0.00
28.422587394714355,3821,0,0,335.83,0.00,0.00
28.53746485710144,3816,0,0,335.39,0.00,0.00
28.652758359909058,3802,0,0,334.16,0.00,0.00
28.768197774887085,3795,0,0,333.54,0.00,0.00
28.882866382598877,3795,0,0,333.54,0.00,0.00
28.99735736846924,3794,0,0,333.46,0.00,0.00
29.11262845993042,3795,0,0,333.54,0.00,0.00
29.227715492248535,3795,0,0,333.54,0.00,0.00
29.34259533882141,3794,0,0,333.46,0.00,0.00
29.45769500732422,3794,0,0,333.46,0.00,0.00
29.57312774658203,3795,0,0,333.54,0.00,0.00
29.68728256225586,3794,0,0,333.46,0.00,0.00
